,LocID,Country,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
39636,915,Caribbean,2,Medium,2020,2020.5,21494.216,22038.158,43532.374,192.613
40520,1530,Caribbean Community and Common Market (CARICOM),2,Medium,2020,2020.5,9321.065999999999,9528.757,18849.823,43.582
40671,136,Cayman Islands,2,Medium,2020,2020.5,,,65.72,273.83299999999997
41555,140,Central African Republic,2,Medium,2020,2020.5,2394.042,2435.722,4829.764,7.752999999999999
42439,916,Central America,2,Medium,2020,2020.5,88051.465,91618.72099999999,179670.18600000002,73.267
43323,5500,Central Asia,2,Medium,2020,2020.5,36812.175,37526.751000000004,74338.92599999999,18.930999999999997
44207,1545,Central European Free Trade Agreement (CEFTA),2,Medium,2020,2020.5,12614.913,13131.745,25746.658,87.771
44358,921,Central and Southern Asia,2,Medium,2020,2020.5,1037597.7320000001,977110.7990000001,2014708.531,195.093
45242,148,Chad,2,Medium,2020,2020.5,8200.17,8225.689,16425.859,13.045
46126,830,Channel Islands,2,Medium,2020,2020.5,86.07,87.789,173.859,915.047
47010,152,Chile,2,Medium,2020,2020.5,9425.669,9690.54,19116.209,25.71
47894,156,China,2,Medium,2020,2020.5,738247.34,701076.434,1439323.774,153.312
48778,1105,China (and dependencies),2,Medium,2020,2020.5,753833.4190000001,717453.46,1471286.879,156.11
48929,344,"China, Hong Kong SAR",2,Medium,2020,2020.5,3439.6659999999997,4057.322,7496.988,7139.9890000000005
49813,446,"China, Macao SAR",2,Medium,2020,2020.5,312.1,337.24199999999996,649.342,21717.124
50697,158,"China, Taiwan Province of China",2,Medium,2020,2020.5,11834.313,11982.462,23816.775,672.6
51581,170,Colombia,2,Medium,2020,2020.5,24984.564,25898.32,50882.884000000005,45.861000000000004
52465,1566,Commonwealth of Independent States (CIS),2,Medium,2020,2020.5,137505.353,153087.485,290592.838,13.687999999999999
52616,2074,Commonwealth of Nations,2,Medium,2020,2020.5,1313314.739,1252070.811,2565385.55,85.58
52767,2075,Commonwealth: Africa,2,Medium,2020,2020.5,291777.322,292216.545,583993.8670000001,76.34
52918,2076,Commonwealth: Asia,2,Medium,2020,2020.5,944219.493,881433.68,1825653.1730000002,427.406
53069,2077,Commonwealth: Caribbean and Americas,2,Medium,2020,2020.5,22129.327999999998,22468.486,44597.814000000006,4.774
53220,2078,Commonwealth: Europe,2,Medium,2020,2020.5,34367.349,35167.555,69534.90400000001,276.492
53371,2079,Commonwealth: Pacific,2,Medium,2020,2020.5,20821.247,20784.545,41605.792,4.917
53522,174,Comoros,2,Medium,2020,2020.5,438.653,430.94199999999995,869.595,467.273
54406,178,Congo,2,Medium,2020,2020.5,2756.678,2761.414,5518.092,16.158
55290,184,Cook Islands,2,Medium,2020,2020.5,,,17.564,73.183
56174,188,Costa Rica,2,Medium,2020,2020.5,2545.076,2549.038,5094.1140000000005,99.76700000000001
57058,1638,Countries with Access to the Sea,2,Medium,2020,2020.5,3635228.4869999997,3563974.8439999996,7199203.331,63.751999999999995
57209,2094,Countries with Access to the Sea: Africa,2,Medium,2020,2020.5,500195.005,499014.55600000004,999209.561,46.898
57360,2095,Countries with Access to the Sea: Asia,2,Medium,2020,2020.5,2291189.829,2183033.0130000003,4474222.842,183.546
57511,2096,Countries with Access to the Sea: Europe,2,Medium,2020,2020.5,327753.42699999997,351313.275,679066.702,31.665
57662,2097,Countries with Access to the Sea: Latin America and the Caribbean,2,Medium,2020,2020.5,312146.375,323010.398,635156.7729999999,34.041
57813,2098,Countries with Access to the Sea: Northern America,2,Medium,2020,2020.5,182580.522,186289.122,368869.644,19.777
57964,2099,Countries with Access to the Sea: Oceania,2,Medium,2020,2020.5,21363.328999999998,21314.48,42677.809,5.029
58115,191,Croatia,2,Medium,2020,2020.5,1979.2920000000001,2125.976,4105.268,73.361
58999,192,Cuba,2,Medium,2020,2020.5,5623.468000000001,5703.148,11326.616000000002,106.413
59883,531,Curaçao,2,Medium,2020,2020.5,75.469,88.631,164.1,369.595
60767,196,Cyprus,2,Medium,2020,2020.5,603.514,603.847,1207.361,130.667
61651,203,Czechia,2,Medium,2020,2020.5,5272.522,5436.46,10708.982,138.64600000000002
62535,384,Côte d'Ivoire,2,Medium,2020,2020.5,13300.38,13077.895,26378.275,82.95100000000001
63419,408,Dem. People's Republic of Korea,2,Medium,2020,2020.5,12608.378999999999,13170.436000000002,25778.815,214.092
64303,180,Democratic Republic of the Congo,2,Medium,2020,2020.5,44710.172,44851.232,89561.40400000001,39.506
65187,208,Denmark,2,Medium,2020,2020.5,2879.361,2912.842,5792.203,136.512
66071,1106,Denmark (and dependencies),2,Medium,2020,2020.5,2934.591,2963.2490000000003,5897.84,12.982999999999999
66222,262,Djibouti,2,Medium,2020,2020.5,518.993,469.009,988.002,42.623000000000005
67106,212,Dominica,2,Medium,2020,2020.5,,,71.991,95.988
67990,214,Dominican Republic,2,Medium,2020,2020.5,5418.206,5429.698,10847.903999999999,224.50099999999998
68874,1737,ECE: North America-2,2,Medium,2020,2020.5,182518.194,186226.61,368744.804,20.215
69025,1736,ECE: UNECE-52,2,Medium,2020,2020.5,635033.425,666449.063,1301482.488,28.741999999999997
69176,1744,ECLAC: Latin America,2,Medium,2020,2020.5,315765.065,326168.967,641934.032,32.709
69327,1746,ECLAC: The Caribbean,2,Medium,2020,2020.5,5861.979,6162.838000000001,12024.817,23.975
69478,1071,ESCAP region: East and North-East Asia,2,Medium,2020,2020.5,843641.423,810631.429,1654272.852,143.537
69629,1074,ESCAP region: North and Central Asia,2,Medium,2020,2020.5,112812.112,124552.85800000001,237364.97,11.588
69780,1075,ESCAP region: Pacific,2,Medium,2020,2020.5,21357.259,21307.953999999998,42665.212999999996,5.0280000000000005
69931,1073,ESCAP region: South and South-West Asia,2,Medium,2020,2020.5,1042421.682,982286.99,2024708.6719999998,282.39599999999996
70082,1072,ESCAP region: South-East Asia,2,Medium,2020,2020.5,333931.707,334688.147,668619.8539999999,154.035
70233,2061,ESCAP: ADB Developing member countries (DMCs),2,Medium,2020,2020.5,2079913.169,1984321.636,4064234.805,164.725
70384,2058,ESCAP: ADB Group A (Concessional assistance only),2,Medium,2020,2020.5,80964.198,84493.681,165457.87900000002,72.81
70535,2059,ESCAP: ADB Group B (OCR blend),2,Medium,2020,2020.5,937587.98,875029.171,1812617.1509999998,286.743
70686,2060,ESCAP: ADB Group C (Regular OCR only),2,Medium,2020,2020.5,1061360.991,1024798.7840000001,2086159.775,129.745
70837,1054,ESCAP: ASEAN,2,Medium,2020,2020.5,333265.465,334035.947,667301.412,154.26
70988,1057,ESCAP: Central Asia,2,Medium,2020,2020.5,45171.812999999995,46258.697,91430.51,22.26
71139,1055,ESCAP: ECO,2,Medium,2020,2020.5,259569.642,253061.151,512630.79299999995,65.459
71290,2049,ESCAP: HDI groups,2,Medium,2020,2020.5,2354164.183,2273467.378,4627631.561000001,88.98200000000001
71441,1060,ESCAP: Landlocked countries (LLDCs),2,Medium,2020,2020.5,82272.20599999999,84559.73800000001,166831.94400000002,25.063000000000002
71592,1059,ESCAP: Least Developed Countries (LDCs),2,Medium,2020,2020.5,156263.988,158110.185,314374.173,151.069
71743,1058,ESCAP: Pacific island dev. econ.,2,Medium,2020,2020.5,6288.471,6054.628000000001,12343.098999999998,22.828000000000003
71894,1056,ESCAP: SAARC,2,Medium,2020,2020.5,958377.151,897999.5009999999,1856376.6519999998,389.04900000000004
72045,2048,ESCAP: WB High income econ.,2,Medium,2020,2020.5,109934.666,113370.814,223305.48,26.465999999999998
72196,2045,ESCAP: WB Low income econ.,2,Medium,2020,2020.5,45933.079000000005,47910.885,93843.964,102.38
72347,2046,ESCAP: WB Lower middle income econ.,2,Medium,2020,2020.5,1237839.68,1176349.52,2414189.2,234.213
72498,2047,ESCAP: WB Upper middle income econ.,2,Medium,2020,2020.5,960447.365,935826.37,1896273.735,58.628
72649,2044,ESCAP: WB income groups,2,Medium,2020,2020.5,2354154.79,2273457.589,4627612.379,88.98299999999999
72800,2053,ESCAP: high HDI,2,Medium,2020,2020.5,109643.588,113084.663,222728.25100000002,26.467
72951,1064,ESCAP: high income,2,Medium,2020,2020.5,109757.335,113198.85,222956.185,26.438000000000002
73102,2054,ESCAP: income groups,2,Medium,2020,2020.5,2354164.183,2273467.378,4627631.561000001,88.98200000000001
73253,2050,ESCAP: low HDI,2,Medium,2020,2020.5,996463.5079999999,937395.2790000001,1933858.7869999998,301.29200000000003
73404,1062,ESCAP: low income,2,Medium,2020,2020.5,1077477.105,1019258.003,2096735.108,280.88599999999997
73555,2051,ESCAP: lower middle HDI,2,Medium,2020,2020.5,1053205.101,1016510.675,2069715.7759999998,136.755
73706,2055,ESCAP: lower middle income,2,Medium,2020,2020.5,293095.304,293122.65,586217.954,89.64200000000001
73857,1065,ESCAP: other Asia-Pacific countries/areas,2,Medium,2020,2020.5,107697.966,93130.16699999999,200828.133,51.745
74008,2052,ESCAP: upper middle HDI,2,Medium,2020,2020.5,194851.986,206476.76100000003,401328.74700000003,18.211
74159,2056,ESCAP: upper middle income,2,Medium,2020,2020.5,873834.439,847887.875,1721722.314,58.228
74310,2062,ESCWA: Arab countries,2,Medium,2020,2020.5,226176.521,210202.354,436378.875,33.541
74461,2066,ESCWA: Arab least developed countries,2,Medium,2020,2020.5,48148.994000000006,47926.719000000005,96075.713,24.163
74612,2065,ESCWA: Gulf Cooperation Council countries,2,Medium,2020,2020.5,36217.942,22446.153,58664.095,22.8
74763,2063,ESCWA: Maghreb countries,2,Medium,2020,2020.5,49800.184,49651.322,99451.506,20.968000000000004
74914,2064,ESCWA: Mashreq countries,2,Medium,2020,2020.5,92009.401,90178.16,182187.56100000002,106.02
75065,1765,ESCWA: member countries,2,Medium,2020,2020.5,195140.98,179636.03600000002,374777.016,37.567
75216,1563,East African Community (EAC),2,Medium,2020,2020.5,96986.53300000001,98296.69900000001,195283.232,84.31700000000001
75367,910,Eastern Africa,2,Medium,2020,2020.5,221039.935,224365.643,445405.578,66.803
76251,906,Eastern Asia,2,Medium,2020,2020.5,855475.7359999999,822613.891,1678089.6269999999,145.158
77135,923,Eastern Europe,2,Medium,2020,2020.5,137829.97199999998,155183.238,293013.21,16.230999999999998
